"director_id","movie_id"
"8","4860"
"17","4719"
"23","1807"
"28","5334"
"59","4154"
"59","4431"
"62","5253"
"72","7132"
"87","8276"
"89","9764"
"90","6228"
"93","4901"
"93","7268"
"93","7713"
"93","8596"
"93","8924"
"93","9391"
"93","9751"
"129","8563"
"139","10281"
"181","9756"
"188","8490"
"194","400"
"194","9125"
"197","6122"
"198","2108"
"218","401"
"232","7347"
"246","1123"
"246","9716"
"267","1447"
"267","1451"
"268","9942"
"269","9942"
"270","8527"
"280","2252"
"283","4114"
"288","1985"
"295","5680"
"297","2858"
"297","4507"
"302","1118"
"344","1091"
"350","8584"
"359","5211"
"359","8865"
"365","151"
"387","7942"
"435","5553"
"435","7126"
"459","4356"
"512","10337"
"523","3240"
"526","2719"
"536","7566"
"536","8907"
"570","4204"
"585","2191"
"592","5186"
"595","7570"
"610","3139"
"611","1408"
"614","4270"
"614","8393"
"614","8404"
"615","8977"
"621","5980"
"657","2225"
"667","3512"
"667","5976"
"684","8791"
"685","2918"
"717","8567"
"720","4960"
"724","4099"
"724","9326"
"729","6344"
"747","4062"
"753","2491"
"757","1305"
"806","6033"
"806","6034"
"811","9572"
"823","9251"
"829","8344"
"829","8349"
"836","1163"
"858","8101"
"865","1751"
"886","7596"
"886","8910"
"895","8063"
"907","8692"
"952","8282"
"960","6315"
"967","3515"
"980","3956"
"983","3577"
"995","10059"
"1014","5047"
"1019","381"
"1019","2417"
"1019","2883"
"1027","9938"
"1029","1009"
"1059","10307"
"1086","8254"
"1090","8452"
"1102","344"
"1102","2437"
"1103","7162"
"1136","8987"
"1137","1135"
"1137","8987"
"1138","5277"
"1138","6280"
"1178","5050"
"1184","126"
"1206","2610"
"1217","5117"
"1225","893"
"1230","7012"
"1230","7673"
"1239","3997"
"1246","4123"
"1246","4478"
"1248","8898"
"1255","6307"
"1256","9865"
"1328","1180"
"1340","8235"
"1376","2578"
"1394","3311"
"1394","10453"
"1402","4973"
"1402","7549"
"1420","8534"
"1424","10249"
"1432","3319"
"1433","5880"
"1444","1219"
"1460","2946"
"1476","5696"
"1483","7575"
"1492","7882"
"1493","2115"
"1494","7018"
"1498","3366"
"1520","8334"
"1529","2163"
"1555","6007"
"1559","1340"
"1575","3455"
"1575","3569"
"1578","314"
"1627","392"
"1632","3191"
"1638","5743"
"1638","10125"
"1638","10287"
"1651","6302"
"1671","9307"
"1687","4217"
"1689","4481"
"1695","1425"
"1702","9892"
"1717","3159"
"1719","2850"
"1723","3509"
"1723","6297"
"1731","5097"
"1745","3411"
"1751","7538"
"1755","10369"
"1760","4509"
"1760","8308"
"1760","8311"
"1760","8312"
"1766","5449"
"1772","1456"
"1772","4521"
"1782","7474"
"1790","3433"
"1801","1684"
"1818","10398"
"1846","4180"
"1846","4202"
"1846","4275"
"1846","7774"
"1852","4180"
"1854","8358"
"1854","9171"
"1855","4460"
"1858","6239"
"1908","1893"
"1929","2006"
"1935","5354"
"1935","5670"
"1958","5517"
"1958","5842"
"2000","1423"
"2000","1645"
"2029","8189"
"2063","6437"
"2068","2383"
"2107","5877"
"2107","8335"
"2113","5185"
"2128","8955"
"2128","8958"
"2158","7289"
"2158","8154"
"2158","9542"
"2164","5553"
"2172","5120"
"2176","7428"
"2194","5261"
"2255","2876"
"2257","5608"
"2257","6458"
"2270","6201"
"2274","5814"
"2310","10147"
"2311","10147"
"2316","2200"
"2324","1924"
"2326","461"
"2326","465"
"2326","4506"
"2332","6376"
"2384","9653"
"2407","4895"
"2442","2179"
"2445","8762"
"2458","7832"
"2458","8831"
"2467","10055"
"2471","9863"
"2506","9514"
"2511","1782"
"2511","2005"
"2511","2322"
"2511","2535"
"2511","2994"
"2511","8147"
"2514","9762"
"2528","7689"
"2529","8545"
"2530","5006"
"2537","6328"
"2554","8572"
"2575","404"
"2575","8364"
"2580","2106"
"2583","9320"
"2594","908"
"2624","9927"
"2640","5096"
"2643","7968"
"2643","9962"
"2643","10569"
"2649","1365"
"2655","10056"
"2683","2118"
"2721","2451"
"2732","9808"
"2737","2531"
"2794","497"
"2798","5773"
"2819","9706"
"2819","9725"
"2849","6985"
"2850","4906"
"2859","7164"
"2891","565"
"2934","912"
"2992","305"
"3016","8098"
"3018","8152"
"3021","10093"
"3033","444"
"3037","5999"
"3041","7677"
"3043","8530"
"3099","3101"
"3113","1996"
"3134","4482"
"3151","7611"
"3156","4723"
"3168","8472"
"3168","9365"
"3169","5578"
"3169","8351"
"3181","1767"
"3181","4036"
"3201","6697"
"3232","10078"
"3240","10540"
"3241","5701"
"3252","1853"
"3254","6062"
"3254","6065"
"3259","10342"
"3268","6322"
"3268","8138"
"3271","6288"
"3353","1031"
"3357","3069"
"3385","306"
"3389","7169"
"3393","428"
"3393","8228"
"3408","1113"
"3408","7461"
"3442","809"
"3450","7449"
"3451","3381"
"3463","910"
"3477","9179"
"3503","5807"
"3503","5828"
"3507","8973"
"3511","5911"
"3512","2210"
"3514","2993"
"3519","3107"
"3539","9646"
"3545","679"
"3545","7427"
"3550","7787"
"3566","4915"
"3570","4518"
"3571","7718"
"3583","284"
"3590","10548"
"3593","5555"
"3593","7998"
"3608","441"
"3625","6348"
"3651","6105"
"3701","10149"
"3708","7833"
"3732","1364"
"3751","6226"
"3753","4399"
"3753","9208"
"3756","4473"
"3764","4884"
"3808","10271"
"3822","2545"
"3822","2845"
"3822","5934"
"3822","7512"
"3825","3542"
"3827","4325"
"3833","3340"
"3858","5103"
"3858","7613"
"3858","8665"
"3858","9408"
"3858","9769"
"3858","9960"
"3880","9480"
"3887","1896"
"3898","953"
"3916","9148"
"3919","7772"
"3955","8250"
"3984","8837"
"3985","869"
"4043","4934"
"4043","10338"
"4045","8113"
"4047","7515"
"4056","9084"
"4056","9436"
"4056","9945"
"4073","7978"
"4077","9031"
"4115","1028"
"4130","7966"
"4132","2455"
"4134","9405"
"4138","366"
"4144","4974"
"4158","2585"
"4158","4059"
"4158","4150"
"4158","4181"
"4158","5605"
"4158","8399"
"4171","6312"
"4173","356"
"4178","4400"
"4182","9464"
"4196","429"
"4209","9705"
"4213","2226"
"4213","8271"
"4220","8049"
"4241","2123"
"4246","41"
"4262","8048"
"4274","541"
"4274","1604"
"4276","1852"
"4316","10137"
"4324","10477"
"4337","6173"
"4338","3966"
"4353","2247"
"4356","7703"
"4358","9181"
"4358","9205"
"4365","6899"
"4365","7175"
"4371","4006"
"4393","6134"
"4395","1571"
"4395","9527"
"4417","10150"
"4433","6268"
"4441","6342"
"4460","663"
"4467","1302"
"4472","3546"
"4473","6225"
"4478","4862"
"4481","8671"
"4486","9008"
"4488","8657"
"4505","691"
"4509","4097"
"4509","4160"
"4509","8297"
"4509","8396"
"4510","841"
"4510","4851"
"4523","3036"
"4533","7715"
"4568","6163"
"4576","869"
"4581","9082"
"4594","7213"
"4594","7214"
"4616","370"
"4638","3431"
"4665","3448"
"4670","6104"
"4675","6107"
"4679","6486"
"4687","4649"
"4700","5169"
"4728","7615"
"4742","7999"
"4753","7598"
"4754","10094"
"4825","1985"
"4856","1859"
"4876","7594"
"4895","7154"
"4943","8967"
"4978","3927"
"4978","7086"
"5005","9142"
"5041","3177"
"5047","2166"
"5074","9127"
"5095","5184"
"5109","660"
"5109","4626"
"5109","7642"
"5126","4974"
"5126","6795"
"5129","9199"
"5135","9200"
"5136","6359"
"5136","6360"
"5148","10374"
"5159","5296"
"5163","33"
"5168","2487"
"5168","5131"
"5171","1838"
"5177","2634"
"5198","3048"
"5199","282"
"5199","1644"
"5231","1690"
"5231","3222"
"5249","4119"
"5255","8654"
"5255","9679"
"5264","5259"
"5306","6292"
"5307","5334"
"5347","9631"
"5365","2729"
"5409","895"
"5410","4806"
"5414","473"
"5419","9426"
"5426","3581"
"5441","10227"
"5444","3343"
"5445","2653"
"5455","5936"
"5464","10550"
"5491","6338"
"5496","9758"
"5499","2120"
"5499","3424"
"5504","8126"
"5509","5292"
"5580","6750"
"5584","272"
"5584","8300"
"5584","9063"
"5585","7025"
"5585","8067"
"5596","10090"
"5598","10561"
"5603","3137"
"5622","3363"
"5624","2693"
"5628","1880"
"5636","9871"
"5668","10552"
"5670","6211"
"5673","7701"
"5701","3973"
"5720","6114"
"5722","4295"
"5737","9385"
"5742","5538"
"5742","7095"
"5742","7682"
"5760","3275"
"5779","6839"
"5786","3728"
"5787","6085"
"5803","3494"
"5803","8829"
"5804","6434"
"5852","2361"
"5877","9485"
"5913","5652"
"5960","7867"
"5972","8069"
"5996","10315"
"6002","8242"
"6004","9145"
"6016","7560"
"6053","2981"
"6108","10254"
"6150","7422"
"6159","7393"
"6177","4963"
"6197","10052"
"6198","6594"
"6238","5844"
"6238","6944"
"6238","7110"
"6249","7911"
"6270","3914"
"6290","920"
"6290","2125"
"6290","2808"
"6290","3089"
"6290","3192"
"6290","3548"
"6293","1962"
"6293","1974"
"6293","1994"
"6293","2008"
"6293","2021"
"6324","1633"
"6343","10012"
"6358","5395"
"6358","7060"
"6358","7820"
"6358","7876"
"6360","10081"
"6370","6078"
"6391","8696"
"6409","499"
"6423","69"
"6423","6926"
"6432","5252"
"6477","8931"
"6539","5622"
"6552","625"
"6558","4513"
"6572","10149"
"6608","1617"
"6609","7205"
"6625","7597"
"6644","5862"
"6672","3054"
"6687","6392"
"6692","2601"
"6692","5510"
"6692","8450"
"6705","3414"
"6721","3236"
"6721","3237"
"6721","10212"
"6722","9975"
"6762","3010"
"6773","7087"
"6796","2252"
"6822","9818"
"6834","8916"
"6852","3267"
"6860","8730"
"6862","1366"
"6874","5551"
"6877","1939"
"6895","1847"
"6921","5401"
"6930","5548"
"6940","1380"
"6967","173"
"6976","6399"
"7009","4832"
"7031","4461"
"7038","10032"
"7040","4189"
"7040","4350"
"7049","4254"
"7058","4474"
"7058","9318"
"7068","5618"
"7068","7224"
"7075","4070"
"7075","4342"
"7082","4179"
"7086","4288"
"7090","141"
"7090","4153"
"7090","4417"
"7090","4423"
"7090","4872"
"7091","4068"
"7091","9907"
"7098","4328"
"7098","7361"
"7105","4438"
"7105","4477"
"7107","4846"
"7118","8052"
"7118","9225"
"7125","4080"
"7125","4146"
"7127","4172"
"7136","4137"
"7155","5373"
"7158","5910"
"7218","6182"
"7218","6610"
"7218","10354"
"7248","4026"
"7264","584"
"7264","1834"
"7264","10335"
"7268","564"
"7289","9948"
"7304","1508"
"7323","8439"
"7324","10534"
"7335","2213"
"7347","2304"
"7347","9816"
"7371","4210"
"7372","3580"
"7372","6131"
"7377","4369"
"7382","4057"
"7382","4065"
"7420","2252"
"7473","2450"
"7475","6988"
"7490","40"
"7501","2248"
"7511","8616"
"7517","6982"
"7519","6069"
"7550","2319"
"7554","1425"
"7588","3231"
"7618","7106"
"7635","3385"
"7636","8990"
"7647","7119"
"7647","7488"
"7650","5503"
"7661","6336"
"7700","9364"
"7733","10463"
"7735","5107"
"7736","1665"
"7754","8633"
"7764","842"
"7764","8846"
"7765","8846"
"7791","1438"
"7792","1335"
"7792","10193"
"7801","9110"
"7812","10232"
"7823","2073"
"7823","7212"
"7829","5119"
"7839","7381"
"7841","160"
"7841","5900"
"7876","4306"
"7881","7326"
"7881","7366"
"7889","10151"
"7893","382"
"7896","10553"
"7911","3422"
"7912","6187"
"7914","6187"
"7919","7669"
"7919","7670"
"7919","7671"
"7967","7660"
"7984","7460"
"7987","1828"
"7994","490"
"7994","6477"
"8020","3183"
"8023","10536"
"8043","8268"
"8071","7249"
"8099","10419"
"8111","822"
"8112","4798"
"8116","402"
"8116","459"
"8116","463"
"8116","2676"
"8116","4796"
"8119","7475"
"8122","10359"
"8157","5841"
"8190","9530"
"8193","1986"
"8205","6067"
"8211","3125"
"8212","1507"
"8217","7446"
"8217","7473"
"8224","1206"
"8228","3419"
"8228","6673"
"8230","4158"
"8232","7896"
"8239","5366"
"8248","3234"
"8248","3237"
"8255","3009"
"8267","8085"
"8286","7683"
"8292","8478"
"8319","8264"
"8319","8265"
"8325","6697"
"8328","10054"
"8357","1808"
"8358","3198"
"8360","351"
"8387","1383"
"8427","3472"
"8427","6298"
"8427","7761"
"8427","10058"
"8437","6825"
"8451","6680"
"8457","7052"
"8460","3330"
"8479","2099"
"8483","5810"
"8487","6084"
"8499","175"
"8500","175"
"8521","50"
"8521","5221"
"8521","7182"
"8521","9137"
"8530","10049"
"8542","495"
"8542","1863"
"8542","9946"
"8547","5758"
"8556","8966"
"8612","10204"
"8647","7370"
"8680","7564"
"8687","2495"
"8691","7967"
"8691","8173"
"8702","3523"
"8702","5098"
"8714","4859"
"8718","4881"
"8718","9858"
"8720","7639"
"8722","4883"
"8727","4310"
"8727","4436"
"8739","9467"
"8756","1992"
"8759","538"
"8788","10370"
"8791","2887"
"8807","1885"
"8807","1886"
"8842","9983"
"8860","1473"
"8860","1857"
"8861","4250"
"8864","2252"
"8869","10549"
"8887","367"
"8911","2968"
"8951","8921"
"8963","1096"
"8965","5311"
"8973","1031"
"8977","5469"
"8977","7441"
"8977","8850"
"8996","77"
"8996","220"
"8996","5903"
"8996","8821"
"8996","8822"
"8996","8823"
"8996","8824"
"9023","10171"
"9031","3990"
"9031","5462"
"9040","4980"
"9055","4694"
"9055","5413"
"9062","9088"
"9072","4822"
"9083","657"
"9120","5792"
"9132","3550"
"9134","2000"
"9140","9033"
"9167","10400"
"9181","6605"
"9197","3405"
"9201","6933"
"9227","1658"
"9253","2584"
"9253","3379"
"9253","10044"
"9253","10298"
"9271","1005"
"9271","1014"
"9299","7520"
"9326","1150"
"9326","8496"
"9354","3243"
"9382","2511"
"9383","6584"
"9385","6995"
"9387","477"
"9402","9196"
"9417","5748"
"9428","5350"
"9430","1147"
"9478","2468"
"9479","6606"
"9503","8926"
"9510","4676"
"9521","5869"
"9530","3195"
"9531","8020"
"9534","1359"
"9534","2180"
"9534","2186"
"9534","9915"
"9537","1205"
"9565","37"
"9586","1000"
"9586","5182"
"9586","5808"
"9586","9995"
"9594","6568"
"9610","8445"
"9612","7478"
"9618","5809"
"9633","7232"
"9634","7556"
"9660","1578"
"9683","563"
"9687","5873"
"9687","8180"
"9691","3202"
"9693","965"
"9709","9647"
"9715","2896"
"9732","7766"
"9741","10067"
"9744","5360"
"9750","8482"
"9751","7681"
"9763","8525"
"9787","6057"
"9788","5409"
"9817","7655"
"9832","6748"
"9865","1378"
"9871","506"
"9875","7555"
"9889","7699"
"9918","10297"
"9919","5213"
"9920","4022"
"9920","5479"
"9932","58"
"9932","6834"
"9932","6838"
"9932","6844"
"9944","5786"
"9969","2881"
"9970","2"
"9985","8912"
"9985","8913"
"10012","7017"
"10045","8631"
"10066","5775"
"10066","8629"
"10079","1805"
"10079","1823"
"10092","9014"
"10108","2731"
"10112","2049"
"10119","3279"
"10121","3279"
"10124","1053"
"10148","7675"
"10191","4746"
"10194","3269"
