"actor_id","movie_id","role"
"4892","4491","Chandra Sekhar Azad"
"4892","8410","Yavakri"
"4892","9330","Chandu"
"4893","4055",""
"4893","4234",""
"4893","4440",""
"4893","4453","Anand"
"4893","4454",""
"4893","4455",""
"4893","4456",""
"4893","4457","Suryam"
"4893","6695",""
"4913","8910",""
"4925","2645",""
"4950","9005","Giant"
"4951","6698",""
"4951","8159",""
"4952","5296","Abuzer Kadayif/Ersin Balkan"
"4990","2545","Jerry"
"5011","8800",""
"5030","7715","Asfour"
"5030","8685",""
"5030","9408","Samir"
"5043","7715","Mimi Bey"
"5043","8684",""
"5043","9408","Amin"
"5044","6190",""
"5045","5246",""
"5045","8694",""
"5060","8682",""
"5082","9851",""
"5092","9408","Roz"
"5092","10392",""
"5092","10523",""
"5107","6417","Cikgu Azmi"
"5120","4521",""
"5125","917",""
"5126","917","Himself"
"5135","927","Himself"
"5136","4725","Tegmen Arif"
"5142","1578","Entraineur Italien"
"5144","8092","Luther's Trainer"
"5155","169",""
"5173","2173","Richards"
"5186","3395",""
"5267","9694","Damián"
"5271","4919","Melvin"
"5284","3182",""
"5292","9694","Obrero I"
"5294","2256","Umberto's brother"
"5303","2985",""
"5305","5106",""
"5347","3445",""
"5347","8282",""
"5348","8559",""
"5349","4915",""
"5354","8577",""
"5354","10125",""
"5387","6473",""
"5424","3395","Cámara de TV"
"5449","462","Peter Borly"
"5449","479","Lindner"
"5449","4788","Rudolf, Count Lerchenau/Rudi "
"5458","4551","Didi"
"5470","1787","Lucio"
"5479","7472","Becquart"
"5513","1074","Capt Lou Albano"
"5538","702",""
"5538","1572",""
"5544","3090","Lavatory Man"
"5587","2369","Count Gionelli"
"5587","5059","Speakeasy Owner"
"5599","480","Hans Richter"
"5626","2262","Himself - Co-host"
"5626","3005","Charles Pether, Mission Teach"
"5626","5892","Harry Kruger"
"5626","5987","Orlando Higgens (Woman of Sin"
"5627","2475","Peter Latham"
"5627","2613","Himself - Performer: 'A World"
"5627","3942","Alfred"
"5627","4944","Mayor Phillips"
"5627","5449","Eddie Powers"
"5696","1372","Buchanan"
"5696","6509",""
"5699","3169","Producer"
"5699","3510","Cardinale Masoli"
"5699","7474",""
"5699","8936","Mr. Khouroulis"
"5699","10186",""
"5709","5463",""
"5718","3555",""
"5740","1824","Himself"
"5744","2707","Himself"
"5764","2252","(segment ""Affreux, bêtes et t"
"5772","7",""
"5774","270",""
"5774","8629","Arthur Miller"
"5774","9117","Tommy Bogan"
"5776","2279","Himself"
"5791","10130",""
"5794","1210","William Paca (MD)"
"5796","402",""
"5830","3054",""
"5852","511","Additional Voices"
"5869","9374","Stanovalec"
"5881","2960","Himself/presenter"
"5882","1651",""
"5886","5882","Bellboy"
"5890","7405","Undetermined Role"
"5899","5966",""
"5899","6006",""
"5899","9697",""
"5899","9932",""
"5925","2616","Agent Fanning"
"5937","352","Marcos"
"5938","4528","Toby"
"5938","4539",""
"5968","3458",""
"5968","4523",""
"5968","8705","Dr. Velasco"
"5968","9840",""
"5981","3428",""
"5987","3958","Dominic"
"5987","10541",""
"5990","4523",""
"5990","6952",""
"6004","2683",""
"6021","2441","Don Pancho"
"6021","2660","Adolfo Jiménez, political lea"
"6021","2988","Gen. Pancho Villa"
"6021","4523",""
"6021","8708",""
"6021","9656",""
"6021","10479",""
"6031","8581",""
"6055","7449","Durochat"
"6065","10498",""
"6069","1136",""
"6069","2416",""
"6069","3448","Acompañante"
"6072","10485","La Rata"
"6078","6642","Policia uniformado 2"
"6082","6209",""
"6082","6468",""
"6088","5758",""
"6088","8559",""
"6090","494",""
"6092","723","Himself"
"6092","1481","Himself - Presenter"
"6092","2012","Himself - Presenter"
"6092","2261","Himself - Host"
"6092","2583","Himself"
"6092","2815","Himself - Co-host"
"6092","2853","Paul Friedman"
"6096","2261","Himself"
"6105","701",""
"6105","2084",""
"6105","3521",""
"6107","5357",""
"6121","3353","Joven taberna 1"
"6132","8696","Arquero"
"6151","5525","Detective"
"6151","7153","Assistant Defense Attorney"
"6164","2486",""
"6203","2250","Holding Tank Officer"
"6213","4730","Andrew Jackson"
"6213","6020","Mike McGrath"
"6213","6800","Vestryman"
"6213","7008","Sheriff at Jail"
"6213","7153","District Attorney"
"6213","8067","Pa Ashby"
"6216","8072","Jonathan Harris"
"6228","4803","Tommy"
"6251","328","Sid Hogenson"
"6251","2816","Nominee for Best Performance "
"6251","7006","Dr. Robinson"
"6263","4366","Phil"
"6264","3024","Peterson"
"6264","4369","Victoria Driver"
"6264","6939","Barfly"
"6264","9630","Spectator"
"6291","7806","Transit Cop"
"6300","3798","Himself"
"6301","3343",""
"6306","5055","Student"
"6310","2988","Col. Enrique Garcia"
"6310","3518",""
"6310","6473",""
"6310","7248",""
"6313","10125",""
"6326","7111","Capt. Wu"
"6335","9084",""
"6338","6313","Codoy"
"6363","3396",""
"6369","2259","Himself"
"6377","10265",""
"6390","1348","Himself"
"6398","3114",""
"6440","6548",""
"6453","3305","Himself"
"6473","1360",""
"6476","9473",""
"6513","6048","Comandante"
"6513","6443","Martín"
"6513","8144","Don Aurelio"
"6513","8469",""
"6513","8708",""
"6528","8581",""
"6541","5477","Fradin"
"6542","6621","The single man"
"6565","8987",""
"6581","3282","Elgin"
"6597","1271",""
"6600","6679","Le cireur nègre"
"6600","8449",""
"6605","8674",""
"6616","8200","Grandson"
"6633","9888","Registrar"
"6642","5009","Husband in Supermarket"
"6698","5050","Dr. Samuels"
"6706","7961","Filing Clerk at Morgue"
"6712","2128",""
"6721","10335","Col. Playfair"
"6722","459",""
"6722","478",""
"6722","1586","Arnd Krusemark"
"6722","4788","Barmixer"
"6722","4796",""
"6724","1087","Dr. Fletcher"
"6727","10335",""
"6734","5192","Ton-Up Vicar"
"6739","1373","Himself (Philadelphia Phillie"
"6750","94","Rat"
"6762","849","Lightning"
"6762","2581","Presenter"
"6762","2591","Host"
"6762","7099","Boris Badenov"
"6810","10095",""
"6821","263","Gwen's Prom Date"
"6843","1432","Hawk"
"6852","3107","TV Reporter"
"6857","476","Dr. Frank"
"6857","4775","Graf Bobby Pinelski"
"6870","187","Pete Davis, henchman"
"6870","4619","Prop man"
"6870","5811","Burly Tough Guy"
"6870","7035","Ahmed's Aide"
"6870","10516","Mongol guard"
"6950","8036",""
"6950","8126",""
"6950","8408",""
"6950","8433","Alkis Flerianos"
"6950","8476","Dimitris"
"6950","9178",""
"6969","487",""
"6969","551",""
"6969","5443",""
"6969","6500","Emiliano"
"6969","6562",""
"6969","6740",""
"6991","3252","Himself"
"7006","9933",""
"7014","2762","Performer from musical ""Titan"
"7048","10308","Jannis"
"7057","2027","Italian Wedding Band"
"7078","2237","Demetrio Morel"
"7084","9834",""
"7087","6740","Ortigueira"
"7090","6584","Fireman"
"7101","1145","Reporter"
"7119","8475",""
"7140","1685","Himself (New York Mets second"
"7141","2987",""
"7141","3417","Beteg a folyosón"
"7142","3100","Big O"
"7182","2287","Himself - Presenter"
"7188","10334","Mönther"
"7198","8571",""
"7199","10498",""
"7218","5272","Don Carmelo"
"7219","5268",""
"7220","1050","Waiter at Café Royal"
"7220","6584","Man watching the boxing game"
"7220","6585","Man at the boxing match"
"7221","2608","Jingis"
"7224","8334",""
"7246","9870","Lulu"
"7255","7632","Himself (Cook)"
"7256","359","Special Appearance"
"7273","4160","Shopkeeper"
"7312","4098",""
"7319","4098",""
"7322","1404","Himself (trains for fight)"
"7322","1747","Himself (First Pitch Ceremony"
"7322","2040","Himself"
"7322","2613","Himself - Co-presenter: Best "
"7322","10550","Himself"
"7322","10554","Himself"
"7342","8898",""
"7392","7450","Tonin"
"7401","8454","Barun Lenbach"
"7401","9377",""
"7416","6489",""
"7420","2480","Dracula (segment ""La cavallon"
"7422","1057",""
"7422","2923","Vuja Vasic"
"7435","6240","Hussanein"
"7437","8261",""
"7450","6117","Relationship counselor"
"7453","5007","Police chief"
"7477","5264",""
"7477","6573",""
"7481","5694",""
"7481","5697",""
"7481","6423",""
"7481","7369",""
"7481","7596",""
"7481","8472",""
"7481","8589","Hasmet"
"7481","8718",""
"7481","10522","Ali Baba"
"7487","1015",""
"7512","1007",""
"7512","6679","Un des trois gangsters"
"7531","2755","Karl"
"7531","2979",""
"7533","5704",""
"7537","6088",""
"7572","7989","Bendeleider"
"7579","8987","Le serveur sur la terrasse/Ca"
"7588","3991","Radio Announcer"
"7640","2250","'50s Young Elvis in Pink Jack"
"7652","2173","Livingston"
"7666","7438",""
"7670","453","Nico"
"7671","3099","Additional Voices"
"7675","8452","Lt. Pascal de Breuilly"
"7692","725","Himself"
"7692","726","Himself"
"7692","727","Himself"
"7692","729","Himself"
"7704","2252","(segment ""Rêve, Le"")"
"7706","6648","Adramelech"
"7718","3145","Whitewood"
"7722","4903",""
"7726","1939",""
"7740","120","Himself"
"7742","5028","Mother Malone"
"7773","6207","Mr. Boob"
"7828","1535","Andre"
"7832","10396","Ches"
"7842","3081","CID Agent"
"7862","7173","Anthony"
"7873","2486",""
"7874","2470","Pianist"
"7914","7961","Man"
"7932","9129","Operations man"
"7953","7038","Sailor"
"7957","5881","Voice in Crowd"
"7966","6614","'Dad' Mason"
"7966","7866","Harris"
"7976","6926",""
"7985","350","Tootoochy"
"7992","10535","Guard"
"8029","8198","Larkin"
"8041","1868","Roger Ames"
"8041","8235","Diaz"
"8056","10412","Confused Guy"
"8102","5379","Narrator"
"8123","1423","Inner Party Official"
"8131","1927",""
"8131","2785","Himself - Best Song Winner"
"8147","7",""
"8155","8089","Lieutenantt Gage"
"8157","7413","Orphan"
"8179","9032","Bill 'Okay' Lewis"
"8213","1500","Hotel Manager"
"8213","4694","Dr. Mathias"
"8216","4364","David Berger"
"8228","1963","Himself"
"8228","2025","Himself - Presenter"
"8228","2288","Himself - Co-host"
"8228","2778","Himself - Memorial Tribute"
"8251","2761","Himself"
"8251","2924","Himself - Presenter"
"8251","4670","Himself"
"8251","4671","Himself"
"8251","7582","Himself"
"8251","7583","Himself"
"8255","2597","Young cop"
"8271","970","Guard"
"8286","723","Himself"
"8286","2561","Presenter"
"8286","2895","Himself"
"8286","2924","Himself"
"8286","3046","Himself - Presenter: New York"
"8286","3667","Himself"
"8286","7586","Himself"
"8286","7587","Himself"
"8286","7589","Himself"
"8301","9886","Col. Alamonte (Santa Anna's n"
"8304","2993",""
"8310","921","(segment ""United Kingdom"")"
"8325","6495",""
"8340","5377","Iaio"
"8361","2034","Mr. Steinmetz"
"8366","9087",""
"8367","9883","Travis' man"
"8377","7425","Maître Guilloche"
"8377","7447","Camille Desmoulins"
"8387","7544","Himself"
"8421","9089","Scientist"
"8423","6989","Additional Muppet Performer"
"8438","9883","Tennessean"
"8441","7545","Reverend Doughty"
"8450","7012","Rat"
"8463","958","Himself - Presenter"
"8482","1624","Himself"
"8513","6688","Sam"
"8517","6305","Lance Pirth"
"8522","6200","Filibuster"
"8535","3053","Mickey Mouse, co-presenting A"
"8536","2369","Timothy O'Brien"
"8568","2325",""
"8568","3451",""
"8568","9668","El Griego; Armando Sanchez"
"8568","9694","Comandante Guerra"
"8579","2325",""
"8579","3520","Comandante"
"8579","5000",""
"8579","8273",""
"8579","8275",""
"8579","9664","Ramon Luna"
"8611","7769",""
"8612","120","Himself"
"8621","9626",""
"8635","196","Soldier"
"8662","10238",""
"8673","3566",""
"8683","8582",""
"8691","1824","Himself"
"8692","5747","Pedro"
"8696","2759","Himself - Best Cinematography"
"8699","5689","Rekrut Schaffner"
"8700","5689","Rekrut Schaffner"
"8712","8284","Zio di Lodolini"
"8712","8802","Lorot, impiegato del notaio"
"8714","7506",""
"8714","10298","Pasquale Dell'Incanto"
"8728","3053","Himself - Best Original Scree"
"8728","4525","Himself"
"8730","8657","Employment Agent"
"8750","10501",""
"8799","1712","Vegan Night Club Dancer"
"8815","2602","Embarazado"
"8819","8529",""
"8819","8573",""
"8819","10248",""
"8820","10233",""
"8824","9726","Padre"
"8827","10537","Himself"
"8844","2416",""
"8844","5743",""
"8847","3502","Él mismo"
"8847","4929","Eduardo"
"8860","7173","Karl Andrews"
"8862","8468",""
"8862","10030","Federico"
"8864","6562",""
"8873","1487","Himself"
"8873","2040","Himself"
"8873","2232","Richard"
"8873","2394","Himself"
"8873","2626","Himself"
"8874","5112",""
"8880","1506","El"
"8883","7189",""
"8895","1017",""
"8895","3326",""
"8895","3439","Benito"
"8895","5272","Don Pío Coronado"
"8895","7250",""
"8895","9706",""
"8905","3522",""
"8905","5744",""
"8905","8276",""
"8906","10288",""
"8922","3046","Memorial Tribute"
"8932","8479","Siriano"
"8935","1463","Himself (florida marlins left"
"8935","1747","Himself (NL Outfielder - Chic"
"8949","1695",""
"8949","8712",""
"8949","10522","The slave merchant"
"8950","5698",""
"8951","5696",""
"8960","7099","Horse Spy #2"
"8963","1828","Schultz"
"8963","4626","Joe, Reporter"
"8963","6939","Police officer"
"8963","7512","Blair, a Hired Thug"
"8963","7961","The Kid, a Fighter"
"8963","9022","Corporal, demolition squad"
"8986","1841","Himself"
"8986","1927",""
"9000","7412","Dr. Hulst"
"9017","3453",""
"9027","7460","Lacadé"
"9027","7463","Léon Besnard"
"9033","7094","Deputy Lawson"
"9039","6006",""
"9039","8281",""
"9070","7882",""
"9083","7018","Johnny"
"9084","7018","Gang Member"
"9111","1688","Házmester"
"9113","5451",""
"9113","9754",""
"9126","8562","Hilario"
"9126","10485","El Ángel"
"9129","7500","Jock #1"
"9130","6674",""
"9132","3964",""
"9132","6739","Papagallo #1"
"9132","8255",""
"9136","9353","Dancer"
"9149","5934",""
"9160","8979",""
"9171","4423","Arnie Campbell"
"9171","6107","Mark Sahib"
"9171","7361","Dr. Freddie"
"9175","3476","Eduardo"
"9176","3439","Mike"
"9176","3568",""
"9176","4525","Himself"
"9176","6497",""
"9200","6394","Edo"
"9203","8021","Paramilitary #1"
"9216","9635","Nono Spartaco"
"9246","968","Coach Gilmore"
"9267","2909","Himself"
"9267","3046","Himself"
"9267","3899","Himself"
"9297","1624","Himself"
"9309","9736",""
"9318","4627","Policeman"
"9320","2471","Policeman"
"9323","606","Larry"
"9346","8910","Zihni"
"9364","9076","Mingori Team"
"9370","4184","Pappy"
"9370","4489","Velu Mooppan"
"9373","3081","Sedgwick"
"9375","1027","Anton"
"9386","9665",""
"9391","1034","Fernando"
"9411","9730",""
"9411","9951",""
"9413","3048","Tim Gonzalez"
"9424","1337","Scooby"
"9429","10223",""
"9439","9665",""
"9443","4514",""
"9452","2173","Bathes"
"9477","1712","Vegan Night Club Dancer"
"9480","396","Jinetero"
"9508","3569","Narrator"
"9513","2602","Enfermero"
"9541","6629",""
"9552","9464",""
"9552","9878",""
"9566","9113","Psycho Rocker"
"9597","8480",""
"9610","10196",""
"9615","9005","Giant"
"9640","5977","Herodes"
"9648","8819","Himself"
"9669","2250","Motorcycle Gang Member"
"9685","987","Police Inspector"
"9715","5107",""
"9717","9521","Jan in Lilltorpet"
"9732","4601",""
"9732","9251","Fettah"
"9736","5934",""
"9736","7293","Officer"
"9745","3543",""
"9749","7526",""
"9770","2581","Performer"
"9773","9324",""
"9777","1757","Kentaro Kaneko"
"9781","383",""
"9801","7681","Philippe Djerdan"
"9802","3470","Miguel"
"9811","6737",""
"9822","1455",""
"9836","8908","Récitant/Narrator"
"9840","7681","Kweku"
"9847","8888","Taizo Murayama"
"9861","6415","A drinker at bar"
"9861","7462","Fourcade"
"9866","4004",""
"9866","4557","Heiroku"
"9866","9274","Dr. Gensai"
"9880","130","Bargali"
"9893","9333",""
"9906","1392","Revolutionary"
"9927","4514",""
"9959","4564",""
"9968","394",""
"9983","10196","Chico"
"9985","9170",""
"9989","1866",""
"10017","10330","Maitre d' Du Champ"
"10041","3347",""
"10046","3149","Bourin"
"10046","5792",""
"10046","6378","Le commissaire des jeux"
"10072","3993","Marine #1"
"10108","9226","Ajit"
"10119","2890","Bob Hall of the 1961 Yankees"
"10122","7446","Le journaliste #1"
"10136","8339","Charles Sheridan"
"10153","9873","Roberto"
"10203","6674",""
"10214","2987",""
"10214","9454",""
"10222","3305","Himself"
"10226","1382","Himself"
"10226","2815","Himself - Best Supporting Act"
"10226","10348","Charlie Dwyer"
"10269","1366","Dubbing Voice"
"10269","10439","Dustin Hoffman"
"10274","1019","Prof. Nathan Rosenbluth"
"10276","1218","Victim"
